,accuracy,precision,recall,f1,roc_auc
DecisionTree,0.9993581514762516,1.0,0.9990706319702602,0.99953509995351,0.9995353159851301
KNN,0.9980744544287549,0.9990697674418605,0.9981412639405205,0.99860529986053,0.9980246108994432
LogisticRegression,0.9987163029525032,1.0,0.9981412639405205,0.9990697674418605,0.9999768622067284
GaussianNB,0.9980744544287549,1.0,0.9972118959107806,0.9986040018613308,0.9986059479553904
